City_ID,City,Country,Max Temperature,Current Description,Latitude,Longitude,Hotel Name
676,Boa Vista,BR,82.4,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
682,Waw,SS,71.78,broken clouds,7.7029,27.9953,Universal Gab Hotel
683,Cordoba,AR,72.0,broken clouds,-31.4135,-64.1811,Sheraton Cordoba Hotel
685,Mapiripan,CO,74.93,overcast clouds,2.8892,-72.1256,Monserrate
686,Waingapu,ID,84.61,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
687,Bom Jesus,BR,73.71,few clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
689,Manta,EC,80.6,light rain,-0.95,-80.7333,Balandra Hotel
692,Gombong,ID,83.19,moderate rain,-7.6072,109.5142,Grafika Hotel Dan Restoran
694,Tautira,PF,84.2,broken clouds,-17.7333,-149.15,Pension Oaoa
695,Palora,EC,66.78,moderate rain,-1.7,-77.9333,Rancho grande
698,Puerto Escondido,MX,80.6,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
699,Angoche,MZ,78.01,light rain,-16.2325,39.9086,Guest House HESADA
701,Yeppoon,AU,84.2,overcast clouds,-23.1333,150.7333,Villa Mar Colina
